"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","id"
"1","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",2,4,0,"1","1","1","1","1","1","1","0",3,1,2,1,1,1,4,13,13,13,1
"2","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",2,4,1,"1","1","1","1","1","1","1","0",3,1,2,1,1,1,2,7,10,10,2
"3","GP","F",15,"R","GT3","T",1,1,"other","other","course","mother",3,1,1,"0","0","0","1","1","1","1","1",5,5,5,1,1,1,2,8,9,9,3
"4","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,0,"1","1","0","0","0","1","1","1",3,3,4,2,4,5,2,13,11,11,4
"5","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,2,"1","1","0","0","0","1","1","1",3,3,4,2,4,5,2,8,6,5,5
"6","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,0,"1","1","1","1","1","1","0","0",4,3,1,1,1,2,8,14,13,13,6
"7","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,0,"1","1","0","1","1","1","0","0",4,3,1,1,1,2,8,14,13,12,7
"8","GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,0,"1","1","1","1","1","1","1","0",4,3,2,1,1,5,2,10,9,8,8
"9","GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,0,"1","1","0","1","1","1","1","0",4,3,2,1,1,5,2,10,11,10,9
"10","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,0,"0","1","1","1","1","1","1","1",4,2,1,2,3,3,2,13,13,13,10
"11","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,2,"0","1","1","1","1","1","1","1",4,2,1,2,3,3,8,10,10,10,11
"12","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,0,"1","1","1","1","1","1","1","0",4,3,2,1,1,5,2,12,12,11,12
"13","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,0,"1","1","0","1","1","1","1","0",4,3,2,1,1,5,2,11,12,12,13
"14","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","father",2,3,0,"0","1","0","0","1","1","1","1",4,2,2,2,2,5,0,10,11,12,14
"15","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","father",2,3,2,"0","1","0","0","1","1","1","1",4,2,2,2,2,5,0,12,0,0,15
"16","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",2,2,0,"1","1","1","0","1","1","1","0",4,1,3,1,3,4,2,8,9,8,16
"17","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",2,2,0,"1","1","0","0","1","1","1","0",4,1,3,1,3,4,0,11,10,11,17
"18","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",2,4,0,"0","1","0","0","0","1","1","0",4,4,2,2,3,3,6,15,15,15,18
"19","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",2,4,0,"0","1","0","0","0","1","1","0",4,4,2,2,3,3,12,16,16,16,19
"20","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",1,4,0,"1","0","0","0","1","1","0","0",4,3,3,1,1,4,10,10,10,10,20
"21","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",1,4,0,"1","0","0","0","1","1","0","0",4,3,3,1,1,4,10,10,11,11,21
"22","GP","F",15,"U","GT3","A",3,3,"services","services","home","mother",1,2,0,"0","0","0","0","0","1","0","1",1,3,2,2,3,1,24,9,8,9,22
"23","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,0,"0","1","1","1","1","1","1","0",4,3,2,1,1,1,0,14,15,15,23
"24","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,0,"0","1","0","1","1","1","1","0",4,3,2,1,1,1,0,15,14,15,24
"25","GP","F",15,"U","GT3","T",1,1,"at_home","other","course","mother",3,1,0,"0","1","0","1","0","1","1","1",4,3,3,1,2,4,0,8,0,0,25
"26","GP","F",15,"U","GT3","T",1,1,"at_home","other","course","mother",3,1,0,"0","1","0","1","0","1","1","1",4,3,3,1,2,4,6,11,12,13,26
"27","GP","F",15,"U","GT3","T",1,1,"other","other","home","father",1,2,0,"0","1","0","1","0","1","1","0",4,3,2,2,3,4,2,9,10,10,27
"28","GP","F",15,"U","GT3","T",1,1,"other","other","home","father",1,2,0,"0","1","0","1","0","1","1","0",4,3,2,2,3,4,2,13,12,12,28
"29","GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"0","1","1","0","1","1","1","0",4,4,2,1,2,5,0,8,11,11,29
"30","GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"0","1","0","0","1","1","1","0",4,4,2,1,2,5,0,12,12,12,30
"31","GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,0,"0","1","1","0","0","1","1","0",4,3,2,1,1,5,2,10,11,11,31
"32","GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,0,"0","1","0","0","0","1","1","0",4,3,2,1,1,5,6,13,12,13,32
"33","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","father",1,2,0,"0","0","0","0","0","1","0","1",2,3,4,2,4,1,6,11,11,11,33
"34","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","mother",1,2,0,"0","0","0","0","0","1","1","0",3,2,3,1,2,1,0,14,14,14,34
"35","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","mother",1,2,0,"0","0","0","0","0","1","1","0",3,2,3,1,2,1,2,16,15,15,35
"36","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"0","1","0","1","1","1","1","0",5,2,2,1,1,4,0,10,12,13,36
"37","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"0","1","0","1","1","1","1","0",5,2,2,1,1,4,4,10,12,12,37
"38","GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,0,"1","1","1","0","1","1","1","0",5,1,2,1,1,3,8,7,8,8,38
"39","GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,0,"1","1","0","0","1","1","1","0",5,1,2,1,1,3,4,10,10,10,39
"40","GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,0,"0","1","0","1","1","1","0","0",3,5,1,1,1,5,0,8,7,6,40
"41","GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,0,"0","1","0","1","1","1","0","0",3,5,1,1,1,5,4,11,11,11,41
