"","id","failures","absences","paid","schoolsup","higher"
"1",1,0,6,"0","1","1"
"2",2,0,4,"0","0","1"
"3",3,3,10,"1","1","1"
"4",4,0,2,"1","0","1"
"5",5,0,4,"1","0","1"
"6",6,0,10,"1","0","1"
"7",7,0,0,"0","0","1"
"8",8,0,6,"0","1","1"
"9",9,0,0,"1","0","1"
"10",10,0,0,"1","0","1"
"11",11,0,0,"1","0","1"
"12",12,0,4,"0","0","1"
"13",13,0,2,"1","0","1"
"14",14,0,2,"1","0","1"
"15",15,0,0,"0","0","1"
"16",16,0,4,"0","0","1"
"17",17,0,6,"1","0","1"
"18",18,0,4,"0","1","1"
"19",19,3,16,"0","0","1"
"20",20,0,4,"1","0","1"
"21",21,0,0,"0","0","1"
"22",22,0,0,"1","0","1"
"23",23,0,2,"0","0","1"
"24",24,0,0,"0","0","1"
"25",25,0,2,"1","1","1"
"26",26,2,14,"1","0","1"
"27",27,0,2,"1","0","1"
"28",28,0,4,"1","0","1"
"29",29,0,4,"0","1","1"
"30",30,0,16,"1","0","1"
"31",31,0,0,"1","0","1"
"32",32,0,0,"0","0","1"
"33",33,0,0,"0","0","1"
"34",34,0,0,"0","0","1"
"35",35,0,0,"1","0","1"
"36",36,0,0,"0","0","1"
"37",37,0,2,"0","0","1"
"38",38,0,7,"0","0","1"
"39",39,0,2,"1","1","1"
"40",40,0,8,"1","1","1"
"41",41,1,25,"0","0","1"
"42",42,0,8,"0","0","1"
"43",43,0,2,"0","0","1"
"44",44,0,0,"0","1","1"
"45",45,1,14,"0","1","1"
"46",46,0,8,"1","1","1"
"47",47,0,12,"0","0","1"
"48",48,0,4,"0","0","1"
"49",49,0,2,"1","0","1"
"50",50,1,2,"0","1","1"
"51",51,0,2,"1","0","1"
"52",52,0,2,"1","0","1"
"53",53,1,6,"0","0","1"
"54",54,0,0,"1","1","1"
"55",55,0,6,"1","0","1"
"56",56,0,8,"1","0","1"
"57",57,0,0,"1","0","1"
"58",58,0,4,"0","0","1"
"59",59,0,2,"0","1","1"
"60",60,0,2,"0","0","1"
"61",61,0,6,"0","0","1"
"62",62,0,6,"0","1","1"
"63",63,0,4,"0","1","1"
"64",64,0,2,"1","1","1"
"65",65,0,0,"0","1","1"
"66",66,0,2,"0","0","1"
"67",67,0,4,"0","0","1"
"68",68,0,4,"1","1","1"
"69",69,0,2,"1","1","1"
"70",70,0,12,"0","0","1"
"71",71,0,0,"1","0","1"
"72",72,0,0,"0","0","1"
"73",73,2,2,"0","1","1"
"74",74,0,2,"0","0","1"
"75",75,0,54,"1","1","1"
"76",76,0,6,"1","0","1"
"77",77,0,8,"0","0","1"
"78",78,0,0,"1","0","1"
"79",79,3,2,"0","1","0"
"80",80,0,12,"0","0","1"
"81",81,0,2,"1","1","1"
"82",82,0,4,"1","1","1"
"83",83,0,10,"1","0","1"
"84",84,0,4,"1","0","1"
"85",85,0,2,"0","0","1"
"86",86,2,6,"1","0","1"
"87",87,0,4,"0","0","1"
"88",88,0,4,"0","0","1"
"89",89,1,12,"1","0","1"
"90",90,0,18,"0","0","1"
"91",91,0,0,"1","0","1"
"92",92,0,4,"1","0","1"
"93",93,0,4,"0","1","1"
"94",94,0,0,"1","0","1"
"95",95,0,6,"0","0","1"
"96",96,1,2,"1","1","1"
"97",97,0,2,"0","1","1"
"98",98,0,2,"1","0","1"
"99",99,0,6,"0","0","1"
"100",100,0,0,"1","1","1"
"101",101,0,14,"1","1","1"
"102",102,0,0,"0","0","1"
"103",103,0,4,"0","0","1"
"104",104,0,26,"1","1","1"
"105",105,0,0,"1","0","1"
"106",106,0,10,"0","1","1"
"107",107,0,8,"1","1","1"
"108",108,0,2,"0","0","1"
"109",109,0,6,"1","0","1"
"110",110,0,4,"1","0","1"
"111",111,0,6,"0","0","1"
"112",112,1,0,"0","1","1"
"113",113,1,6,"0","1","1"
"114",114,0,10,"0","0","1"
"115",115,0,8,"0","0","1"
"116",116,0,2,"0","0","1"
"117",117,0,2,"0","0","1"
"118",118,0,0,"0","0","1"
"119",119,1,20,"0","0","1"
"120",120,0,6,"0","0","1"
"121",121,0,2,"0","0","1"
"122",122,0,6,"1","0","1"
"123",123,0,2,"1","0","1"
"124",124,0,18,"0","0","1"
"125",125,0,0,"1","0","1"
"126",126,0,0,"0","1","1"
"127",127,0,0,"0","1","1"
"128",128,3,2,"0","0","0"
"129",129,2,0,"0","0","1"
"130",130,0,8,"1","0","1"
"131",131,2,0,"0","0","1"
"132",132,0,0,"0","0","1"
"133",133,0,12,"0","0","1"
"134",134,0,16,"0","0","1"
"135",135,0,0,"0","0","1"
"136",136,0,0,"0","0","1"
"137",137,0,0,"0","0","1"
"138",138,2,0,"0","0","1"
"139",139,1,0,"0","0","1"
"140",140,0,0,"0","0","1"
"141",141,0,0,"0","1","1"
"142",142,2,8,"0","0","1"
"143",143,0,2,"1","0","1"
"144",144,0,2,"0","0","1"
"145",145,3,0,"0","0","1"
"146",146,0,0,"1","0","1"
"147",147,3,0,"0","0","1"
"148",148,0,2,"1","0","1"
"149",149,0,0,"0","0","0"
"150",150,3,0,"0","0","1"
"151",151,3,0,"0","0","0"
"152",152,1,6,"0","0","1"
"153",153,2,8,"1","0","1"
"154",154,3,0,"0","0","0"
"155",155,0,0,"0","1","1"
"156",156,0,2,"1","1","1"
"157",157,0,8,"0","0","1"
"158",158,3,6,"0","0","1"
"159",159,0,2,"0","0","1"
"160",160,1,4,"1","0","1"
"161",161,2,0,"0","0","0"
"162",162,2,6,"0","1","1"
"163",163,1,0,"0","0","1"
"164",164,0,2,"0","0","0"
"165",165,3,0,"0","0","0"
"166",166,1,16,"0","0","0"
"167",167,0,4,"0","0","0"
"168",168,0,0,"1","0","1"
"169",169,0,0,"1","0","1"
"170",170,0,0,"1","0","1"
"171",171,2,0,"0","0","1"
"172",172,0,2,"1","0","1"
"173",173,0,0,"1","0","1"
"174",174,3,0,"0","0","1"
"175",175,0,4,"1","0","1"
"176",176,0,4,"1","0","1"
"177",177,0,2,"1","0","1"
"178",178,0,4,"0","0","1"
"179",179,0,10,"0","0","1"
"180",180,0,4,"0","0","1"
"181",181,0,10,"1","0","1"
"182",182,0,2,"1","0","1"
"183",183,0,0,"0","0","1"
"184",184,0,56,"0","0","1"
"185",185,0,14,"1","0","1"
"186",186,0,12,"0","0","1"
"187",187,0,2,"1","0","1"
"188",188,0,0,"1","0","1"
"189",189,0,6,"0","0","1"
"190",190,0,4,"0","0","1"
"191",191,0,10,"0","0","1"
"192",192,0,0,"0","0","1"
"193",193,0,12,"1","0","1"
