"","id","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","Dalc","Walc","health","absences","G1","G2","G3"
"1",1,1,"1","1","1","1","1","0",3,1,1,1,2,7,10,10
"2",2,2,"1","1","0","0","1","1",3,2,4,5,2,8,6,5
"3",3,0,"1","1","1","1","1","0",4,1,1,2,8,14,13,13
"4",4,0,"1","1","1","1","1","0",4,1,1,5,2,10,9,8
"5",5,2,"0","1","1","1","1","1",4,2,3,3,8,10,10,10
"6",6,0,"1","1","1","1","1","0",4,1,1,5,2,12,12,11
"7",7,2,"0","1","0","0","1","1",4,2,2,5,0,12,0,0
"8",8,0,"1","1","1","0","1","0",4,1,3,4,2,8,9,8
"9",9,0,"0","1","0","0","1","0",4,2,3,3,12,16,16,16
"10",10,0,"1","0","0","0","1","0",4,1,1,4,10,10,11,11
"11",11,0,"0","1","1","1","1","0",4,1,1,1,0,14,15,15
"12",12,0,"0","1","0","1","1","1",4,1,2,4,0,8,0,0
"13",13,0,"0","1","0","1","1","0",4,2,3,4,2,9,10,10
"14",14,0,"0","1","1","0","1","0",4,1,2,5,0,8,11,11
"15",15,0,"0","1","1","0","1","0",4,1,1,5,2,10,11,11
"16",16,0,"0","0","0","0","1","0",3,1,2,1,2,16,15,15
"17",17,0,"0","1","0","1","1","0",5,1,1,4,4,10,12,12
"18",18,0,"1","1","1","0","1","0",5,1,1,3,8,7,8,8
"19",19,0,"0","1","0","1","1","0",3,1,1,5,0,8,7,6
"20",20,3,"0","1","0","0","1","0",3,1,1,3,0,6,7,0
"21",21,0,"1","1","1","0","1","0",4,1,1,2,26,7,6,6
"22",22,0,"0","1","1","1","1","1",3,1,1,5,2,15,14,15
"23",23,0,"0","1","0","1","1","0",5,1,3,1,4,13,14,14
"24",24,0,"0","0","1","1","1","0",4,1,3,1,4,16,17,18
"25",25,0,"0","1","0","1","1","1",4,1,1,5,0,11,0,0
"26",26,0,"1","1","1","0","1","0",3,2,3,5,0,8,10,11
