"","id","traveltime","studytime","freetime","goout"
"1",1,2,4,1,2
"2",2,1,2,3,4
"3",3,1,1,3,1
"4",4,1,3,3,2
"5",5,2,3,2,1
"6",6,1,3,3,2
"7",7,2,3,2,2
"8",8,2,2,1,3
"9",9,2,4,4,2
"10",10,1,4,3,3
"11",11,1,2,3,2
"12",12,3,1,3,3
"13",13,1,2,3,2
"14",14,1,2,4,2
"15",15,1,2,3,2
"16",16,1,2,2,3
"17",17,3,3,2,2
"18",18,1,4,1,2
"19",19,2,1,5,1
"20",20,1,2,3,2
"21",21,2,2,3,5
"22",22,1,3,2,2
"23",23,1,3,3,3
"24",24,1,1,5,5
"25",25,1,3,3,3
"26",26,1,1,3,4
"27",27,2,2,4,4
"28",28,1,2,4,4
"29",29,1,2,3,3
"30",30,1,3,2,2
"31",31,2,1,3,2
"32",32,1,1,3,4
"33",33,1,2,3,2
"34",34,1,2,2,2
"35",35,1,2,3,2
"36",36,1,2,4,4
"37",37,1,2,3,3
"38",38,1,2,4,4
"39",39,2,4,3,5
"40",40,1,3,1,2
"41",41,1,2,4,4
"42",42,1,2,3,4
"43",43,1,2,3,4
"44",44,1,2,3,3
"45",45,2,1,3,2
"46",46,1,1,2,1
"47",47,2,1,3,2
"48",48,4,1,5,5
"49",49,1,2,3,5
"50",50,1,2,3,5
"51",51,1,1,5,2
"52",52,1,2,1,2
"53",53,1,2,1,5
"54",54,1,2,4,4
"55",55,1,4,2,3
"56",56,2,2,4,4
"57",57,1,1,2,2
"58",58,1,2,4,3
"59",59,1,2,3,3
"60",60,1,2,3,1
"61",61,1,4,3,3
"62",62,1,2,2,2
"63",63,1,2,3,2
"64",64,1,3,3,3
"65",65,3,2,3,2
"66",66,1,2,3,3
"67",67,1,2,4,3
"68",68,1,2,2,3
"69",69,1,2,2,3
"70",70,2,2,3,3
"71",71,1,2,3,5
"72",72,1,3,3,5
"73",73,1,3,4,4
"74",74,1,2,3,2
"75",75,1,2,4,2
"76",76,1,1,4,4
"77",77,1,1,3,4
"78",78,1,3,2,3
"79",79,1,3,3,2
"80",80,1,2,3,5
"81",81,1,1,4,4
"82",82,1,2,4,3
"83",83,1,2,3,4
"84",84,2,2,3,3
"85",85,2,2,3,3
"86",86,3,2,3,3
"87",87,2,2,2,2
"88",88,1,2,3,3
"89",89,2,2,4,5
"90",90,3,2,4,3
"91",91,1,3,4,5
"92",92,1,2,5,2
"93",93,1,2,3,3
"94",94,3,2,1,1
"95",95,2,2,2,5
"96",96,1,1,3,2
"97",97,1,3,4,3
"98",98,1,3,3,4
"99",99,2,3,4,2
"100",100,1,3,3,2
"101",101,2,4,1,2
"102",102,1,1,2,1
"103",103,2,3,2,3
"104",104,1,2,3,1
"105",105,1,2,3,3
"106",106,1,2,2,2
"107",107,2,2,1,4
"108",108,1,2,3,3
"109",109,1,3,3,4
"110",110,1,2,3,3
"111",111,1,2,4,4
"112",112,1,3,3,3
"113",113,1,3,3,3
"114",114,1,2,4,5
"115",115,1,2,2,2
"116",116,2,1,3,3
"117",117,2,2,3,3
"118",118,1,2,4,2
"119",119,1,3,4,3
"120",120,1,4,2,2
"121",121,1,2,3,4
"122",122,1,2,3,2
"123",123,1,3,2,3
"124",124,1,3,4,3
"125",125,1,3,4,5
"126",126,2,3,3,3
"127",127,1,3,4,3
"128",128,1,3,2,2
"129",129,1,2,4,5
"130",130,1,1,2,1
"131",131,2,1,2,4
"132",132,1,3,4,4
"133",133,1,3,4,4
"134",134,2,3,3,3
"135",135,2,3,3,3
"136",136,1,1,4,4
"137",137,2,2,4,4
"138",138,1,4,4,1
"139",139,1,2,3,2
"140",140,2,2,4,4
"141",141,1,2,3,3
"142",142,1,4,2,3
"143",143,1,2,2,3
"144",144,2,2,1,1
"145",145,3,1,2,5
"146",146,2,2,3,5
"147",147,2,4,4,4
"148",148,1,2,3,3
"149",149,2,2,3,4
"150",150,2,4,2,2
"151",151,2,2,3,4
"152",152,2,2,4,4
"153",153,2,2,4,4
"154",154,2,3,4,4
"155",155,2,2,3,3
"156",156,1,3,3,3
"157",157,1,3,3,3
"158",158,1,3,3,3
"159",159,1,4,5,5
"160",160,1,3,4,3
"161",161,1,2,3,4
"162",162,1,3,3,4
"163",163,1,4,3,3
"164",164,1,2,1,2
"165",165,1,2,4,4
"166",166,1,2,4,4
"167",167,1,2,2,4
"168",168,2,2,4,3
"169",169,1,2,3,3
"170",170,1,4,3,3
"171",171,2,2,4,5
"172",172,1,2,4,2
"173",173,1,4,3,3
"174",174,1,2,3,5
"175",175,2,2,3,4
"176",176,1,2,4,2
"177",177,1,2,4,4
"178",178,4,2,3,3
"179",179,1,2,5,2
"180",180,4,4,3,5
"181",181,1,3,5,2
"182",182,1,2,4,4
