"","id","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","Dalc","Walc","health","absences","G1","G2","G3"
"1",1,0,"1","1","1","1","1","0",3,1,1,1,4,13,13,13
"2",2,0,"1","1","0","0","1","1",3,2,4,5,2,13,11,11
"3",3,0,"1","1","0","1","1","0",4,1,1,2,8,14,13,12
"4",4,0,"1","1","0","1","1","0",4,1,1,5,2,10,11,10
"5",5,0,"0","1","1","1","1","1",4,2,3,3,2,13,13,13
"6",6,0,"1","1","0","1","1","0",4,1,1,5,2,11,12,12
"7",7,0,"0","1","0","0","1","1",4,2,2,5,0,10,11,12
"8",8,0,"1","1","0","0","1","0",4,1,3,4,0,11,10,11
"9",9,0,"0","1","0","0","1","0",4,2,3,3,6,15,15,15
"10",10,0,"1","0","0","0","1","0",4,1,1,4,10,10,10,10
"11",11,0,"0","1","0","1","1","0",4,1,1,1,0,15,14,15
"12",12,0,"0","1","0","1","1","1",4,1,2,4,6,11,12,13
"13",13,0,"0","1","0","1","1","0",4,2,3,4,2,13,12,12
"14",14,0,"0","1","0","0","1","0",4,1,2,5,0,12,12,12
"15",15,0,"0","1","0","0","1","0",4,1,1,5,6,13,12,13
"16",16,0,"0","0","0","0","1","0",3,1,2,1,0,14,14,14
"17",17,0,"0","1","0","1","1","0",5,1,1,4,0,10,12,13
"18",18,0,"1","1","0","0","1","0",5,1,1,3,4,10,10,10
"19",19,0,"0","1","0","1","1","0",3,1,1,5,4,11,11,11
"20",20,1,"0","1","0","0","1","0",3,1,1,3,2,11,11,11
"21",21,0,"1","1","0","0","1","0",4,1,1,2,16,11,10,10
"22",22,0,"0","1","0","1","1","1",3,1,1,5,0,14,14,14
"23",23,0,"0","1","0","1","1","0",5,1,3,1,4,15,15,15
"24",24,0,"0","0","0","1","1","0",4,1,3,1,6,14,13,13
"25",25,0,"0","1","0","1","1","1",4,1,1,5,4,13,14,15
"26",26,0,"1","1","0","0","1","0",3,2,3,5,0,13,12,12
"27",27,0,"0","0","0","0","1","1",4,2,3,5,4,12,11,12
"28",28,0,"1","1","0","1","1","0",4,1,1,3,2,13,12,12
"29",29,0,"0","1","0","0","1","0",3,1,2,2,2,14,14,14
"30",30,0,"0","1","0","1","1","0",4,1,1,5,2,13,13,13
"31",31,0,"0","0","0","1","1","0",4,1,1,5,6,13,14,14
"32",32,0,"0","0","0","0","1","0",5,4,4,1,0,13,12,13
"33",33,0,"1","0","0","1","1","1",5,1,1,1,0,10,11,11
"34",34,0,"1","1","1","1","1","1",5,1,1,5,4,10,11,11
"35",35,0,"1","0","0","0","1","0",4,2,3,3,6,12,13,12
"36",36,0,"0","1","0","0","1","0",4,1,1,5,4,12,11,11
"37",37,0,"0","1","0","0","1","0",4,1,1,5,0,16,14,16
"38",38,0,"1","0","0","1","1","1",4,2,4,2,0,13,12,12
"39",39,0,"0","1","0","1","1","0",5,1,1,5,6,13,13,13
"40",40,0,"1","1","0","1","1","0",4,1,1,2,4,11,11,11
"41",41,0,"0","1","0","1","1","0",2,2,3,4,0,17,16,16
"42",42,0,"0","0","0","1","1","1",5,1,1,2,2,12,13,12
"43",43,0,"1","1","0","0","1","0",3,1,1,4,0,13,13,13
"44",44,0,"0","1","0","0","1","0",2,2,2,4,2,11,11,12
"45",45,0,"0","1","0","1","1","1",4,1,1,5,4,9,9,10
"46",46,0,"0","0","0","0","1","0",3,1,4,5,12,15,13,14
"47",47,0,"0","1","0","0","1","0",4,1,4,5,2,12,13,13
"48",48,0,"1","1","0","1","1","1",5,5,5,5,0,10,10,16
"49",49,0,"0","0","0","1","1","1",4,1,1,3,0,14,13,13
"50",50,0,"0","1","0","0","1","1",4,1,1,5,0,13,12,12
"51",51,0,"0","0","0","0","1","1",4,1,1,5,4,9,10,10
"52",52,1,"1","0","0","1","1","0",3,1,1,5,12,8,10,10
"53",53,0,"0","1","0","0","1","0",5,1,1,4,0,12,12,13
"54",54,0,"0","0","0","0","1","1",5,1,1,5,0,12,11,11
"55",55,0,"0","0","0","0","1","1",5,1,3,3,1,13,13,13
"56",56,0,"0","0","0","1","1","0",3,1,4,5,0,13,12,14
"57",57,0,"0","1","0","0","1","0",1,1,3,5,6,10,11,12
"58",58,0,"1","1","0","1","1","0",4,1,3,4,4,11,12,12
"59",59,0,"0","0","0","0","1","0",4,1,1,2,6,12,12,13
"60",60,0,"1","0","0","0","1","0",2,1,1,3,0,13,13,14
"61",61,0,"1","1","0","0","1","0",4,1,2,5,0,10,9,10
"62",62,0,"0","1","0","0","1","0",1,1,2,1,8,14,15,16
"63",63,0,"0","1","0","0","1","0",4,1,2,5,0,11,13,13
"64",64,0,"0","1","0","0","1","1",4,1,3,4,2,9,11,11
"65",65,0,"1","1","0","1","1","0",5,1,1,4,2,13,14,14
"66",66,0,"1","1","0","1","1","0",4,2,4,5,4,11,11,11
"67",67,0,"0","1","0","0","1","0",2,1,2,3,14,12,11,11
"68",68,0,"0","0","0","0","1","1",4,1,1,3,0,17,17,18
"69",69,0,"0","1","1","0","1","0",4,1,1,5,2,16,15,16
"70",70,0,"0","1","0","1","1","0",5,1,1,1,2,13,14,14
"71",71,0,"0","1","0","1","1","0",4,1,5,2,2,14,14,15
"72",72,0,"1","1","0","0","1","0",5,1,1,3,2,12,13,13
"73",73,0,"1","1","0","1","1","0",3,2,4,4,0,14,13,13
"74",74,0,"0","0","0","1","1","1",1,1,1,1,4,14,15,15
