"","id","famrel","romantic","famsup"
"1",1,4,"0","0"
"2",2,5,"0","1"
"3",3,4,"0","0"
"4",4,3,"1","1"
"5",5,4,"0","1"
"6",6,5,"0","1"
"7",7,4,"0","0"
"8",8,4,"0","1"
"9",9,4,"0","1"
"10",10,5,"0","1"
"11",11,3,"0","1"
"12",12,5,"0","1"
"13",13,4,"0","1"
"14",14,5,"0","1"
"15",15,4,"1","1"
"16",16,4,"0","1"
"17",17,3,"0","1"
"18",18,5,"0","1"
"19",19,5,"0","1"
"20",20,3,"0","0"
"21",21,4,"0","0"
"22",22,5,"0","1"
"23",23,4,"0","0"
"24",24,5,"0","1"
"25",25,4,"0","1"
"26",26,1,"0","1"
"27",27,4,"0","1"
"28",28,2,"0","0"
"29",29,5,"0","1"
"30",30,4,"1","1"
"31",31,5,"0","1"
"32",32,4,"0","1"
"33",33,4,"1","1"
"34",34,5,"0","0"
"35",35,5,"0","1"
"36",36,3,"0","1"
"37",37,5,"0","1"
"38",38,2,"1","1"
"39",39,4,"0","1"
"40",40,4,"0","1"
"41",41,3,"1","1"
"42",42,5,"1","1"
"43",43,4,"0","1"
"44",44,5,"0","1"
"45",45,4,"0","0"
"46",46,5,"1","1"
"47",47,2,"0","1"
"48",48,4,"0","0"
"49",49,4,"0","1"
"50",50,4,"0","1"
"51",51,4,"0","1"
"52",52,4,"0","1"
"53",53,5,"0","0"
"54",54,3,"0","1"
"55",55,5,"0","0"
"56",56,5,"1","0"
"57",57,4,"0","1"
"58",58,3,"0","1"
"59",59,4,"0","1"
"60",60,4,"0","1"
"61",61,2,"0","1"
"62",62,5,"1","1"
"63",63,4,"0","0"
"64",64,3,"0","1"
"65",65,4,"1","0"
"66",66,5,"0","1"
"67",67,1,"1","1"
"68",68,4,"0","1"
"69",69,4,"0","1"
"70",70,4,"0","1"
"71",71,4,"0","1"
"72",72,3,"0","0"
"73",73,3,"1","1"
"74",74,5,"0","0"
"75",75,4,"0","1"
"76",76,4,"0","1"
"77",77,3,"0","0"
"78",78,5,"1","0"
"79",79,4,"0","1"
"80",80,2,"0","1"
"81",81,3,"1","1"
"82",82,5,"0","0"
"83",83,4,"0","1"
"84",84,5,"0","0"
