"","school","sex","age","address","G1","G2","G3"
"1","GP","F",15,"R",13,13,13
"2","GP","F",15,"R",7,10,10
"3","GP","F",15,"R",8,9,9
"4","GP","F",15,"R",13,11,11
"5","GP","F",15,"R",8,6,5
"6","GP","F",15,"R",14,13,12
"7","GP","F",15,"R",14,13,13
"8","GP","F",15,"R",10,11,10
"9","GP","F",15,"R",10,9,8
"10","GP","F",15,"R",13,13,13
"11","GP","F",15,"R",10,10,10
"12","GP","F",15,"R",11,12,12
"13","GP","F",15,"R",12,12,11
"14","GP","F",15,"R",10,11,12
"15","GP","F",15,"R",12,0,0
"16","GP","F",15,"R",11,10,11
"17","GP","F",15,"R",8,9,8
"18","GP","F",15,"R",15,15,15
"19","GP","F",15,"R",16,16,16
"20","GP","F",15,"U",10,10,10
"21","GP","F",15,"U",10,11,11
"22","GP","F",15,"U",9,8,9
"23","GP","F",15,"U",15,14,15
"24","GP","F",15,"U",14,15,15
"25","GP","F",15,"U",8,0,0
"26","GP","F",15,"U",11,12,13
"27","GP","F",15,"U",9,10,10
"28","GP","F",15,"U",13,12,12
"29","GP","F",15,"U",12,12,12
"30","GP","F",15,"U",8,11,11
"31","GP","F",15,"U",13,12,13
"32","GP","F",15,"U",10,11,11
"33","GP","F",15,"U",11,11,11
"34","GP","F",15,"U",14,14,14
"35","GP","F",15,"U",16,15,15
"36","GP","F",15,"U",10,12,13
"37","GP","F",15,"U",10,12,12
"38","GP","F",15,"U",10,10,10
"39","GP","F",15,"U",7,8,8
"40","GP","F",15,"U",8,7,6
"41","GP","F",15,"U",11,11,11
"42","GP","F",15,"U",11,11,11
"43","GP","F",15,"U",6,7,0
"44","GP","F",15,"U",11,10,10
"45","GP","F",15,"U",7,6,6
"46","GP","F",15,"U",14,14,14
"47","GP","F",15,"U",15,14,15
"48","GP","F",15,"U",13,14,14
"49","GP","F",15,"U",15,15,15
"50","GP","F",15,"U",14,13,13
"51","GP","F",15,"U",16,17,18
"52","GP","F",15,"U",11,0,0
"53","GP","F",15,"U",13,14,15
"54","GP","F",15,"U",13,12,12
"55","GP","F",15,"U",8,10,11
"56","GP","F",15,"U",12,11,12
"57","GP","F",15,"U",7,9,8
"58","GP","F",15,"U",13,12,12
"59","GP","F",15,"U",7,7,7
"60","GP","F",15,"U",14,14,14
"61","GP","F",15,"U",10,8,9
"62","GP","F",15,"U",13,13,13
"63","GP","F",15,"U",9,11,11
"64","GP","F",15,"U",16,16,15
"65","GP","F",15,"U",13,14,14
"66","GP","F",15,"U",11,10,10
"67","GP","F",15,"U",13,12,13
"68","GP","F",15,"U",10,13,13
"69","GP","F",15,"U",7,10,11
"70","GP","F",15,"U",10,11,11
"71","GP","F",15,"U",10,11,11
"72","GP","F",15,"U",8,8,6
"73","GP","F",15,"U",12,13,12
"74","GP","F",15,"U",7,8,10
"75","GP","F",15,"U",12,11,11
"76","GP","F",15,"U",7,6,6
"77","GP","F",15,"U",16,14,16
"78","GP","F",15,"U",11,13,13
"79","GP","F",15,"U",10,10,10
"80","GP","F",15,"U",13,12,12
"81","GP","F",16,"R",14,13,13
"82","GP","F",16,"R",12,11,11
"83","GP","F",16,"R",13,13,13
"84","GP","F",16,"R",10,10,11
"85","GP","F",16,"R",11,11,11
"86","GP","F",16,"R",7,10,10
"87","GP","F",16,"R",17,16,16
"88","GP","F",16,"R",10,11,11
"89","GP","F",16,"U",12,13,12
"90","GP","F",16,"U",8,9,10
"91","GP","F",16,"U",13,11,11
"92","GP","F",16,"U",13,13,13
"93","GP","F",16,"U",12,13,14
"94","GP","F",16,"U",11,11,12
"95","GP","F",16,"U",7,7,7
"96","GP","F",16,"U",9,9,10
"97","GP","F",16,"U",4,0,0
"98","GP","F",16,"U",15,13,14
"99","GP","F",16,"U",12,11,11
"100","GP","F",16,"U",14,13,13
"101","GP","F",16,"U",12,13,13
"102","GP","F",16,"U",9,9,10
"103","GP","F",16,"U",10,10,16
"104","GP","F",16,"U",10,8,11
"105","GP","F",16,"U",12,11,11
"106","GP","F",16,"U",14,13,13
"107","GP","F",16,"U",8,7,0
"108","GP","F",16,"U",13,12,12
"109","GP","F",16,"U",8,9,10
"110","GP","F",16,"U",9,10,10
"111","GP","F",16,"U",13,12,12
"112","GP","F",16,"U",10,13,13
"113","GP","F",16,"U",8,10,10
"114","GP","F",16,"U",12,11,11
"115","GP","F",16,"U",8,7,8
"116","GP","F",16,"U",12,12,13
"117","GP","F",16,"U",6,7,0
"118","GP","F",16,"U",13,13,13
"119","GP","F",16,"U",11,11,11
"120","GP","F",16,"U",13,12,14
"121","GP","F",16,"U",13,13,11
"122","GP","F",16,"U",10,11,12
"123","GP","F",16,"U",6,9,8
"124","GP","F",16,"U",11,12,12
"125","GP","F",16,"U",8,10,10
"126","GP","F",16,"U",12,12,13
"127","GP","F",16,"U",11,12,13
"128","GP","F",16,"U",13,13,14
"129","GP","F",16,"U",16,16,17
"130","GP","F",16,"U",10,9,10
"131","GP","F",16,"U",7,7,6
"132","GP","F",16,"U",14,15,16
"133","GP","F",16,"U",12,13,12
"134","GP","F",16,"U",11,13,13
"135","GP","F",16,"U",6,10,10
"136","GP","F",16,"U",9,11,11
"137","GP","F",16,"U",7,7,8
"138","GP","F",16,"U",13,14,14
"139","GP","F",16,"U",8,10,10
"140","GP","F",16,"U",11,11,11
"141","GP","F",16,"U",11,12,11
"142","GP","F",16,"U",5,5,5
"143","GP","F",16,"U",12,11,11
"144","GP","F",16,"U",17,17,18
"145","GP","F",16,"U",14,15,16
"146","GP","F",16,"U",15,16,16
"147","GP","F",16,"U",16,15,16
"148","GP","F",16,"U",13,14,14
"149","GP","F",16,"U",11,10,10
"150","GP","F",16,"U",14,14,15
"151","GP","F",16,"U",16,16,16
"152","GP","F",16,"U",12,13,13
"153","GP","F",16,"U",7,9,8
"154","GP","F",16,"U",14,13,13
"155","GP","F",16,"U",10,9,9
"156","GP","F",16,"U",14,15,15
"157","GP","F",16,"U",11,12,13
"158","GP","F",16,"U",16,16,17
"159","GP","F",16,"U",14,14,14
"160","GP","F",16,"U",14,14,14
"161","GP","F",16,"U",17,17,17
"162","GP","F",16,"U",12,13,13
"163","GP","F",16,"U",11,14,14
"164","GP","F",16,"U",13,13,14
"165","GP","F",16,"U",13,14,14
"166","GP","F",16,"U",13,13,14
"167","GP","F",16,"U",15,16,16
"168","GP","F",16,"U",13,12,13
"169","GP","F",16,"U",11,12,11
"170","GP","F",16,"U",14,14,13
"171","GP","F",16,"U",10,11,11
"172","GP","F",16,"U",13,13,10
"173","GP","F",16,"U",8,10,9
"174","GP","F",16,"U",8,7,6
"175","GP","F",16,"U",13,11,11
"176","GP","F",16,"U",10,10,9
"177","GP","F",16,"U",10,11,11
"178","GP","F",16,"U",11,11,10
"179","GP","F",16,"U",7,10,11
"180","GP","F",16,"U",14,13,13
"181","GP","F",16,"U",12,13,13
"182","GP","F",16,"U",14,12,13
"183","GP","F",16,"U",13,13,13
"184","GP","F",16,"U",12,13,12
"185","GP","F",16,"U",7,6,6
"186","GP","F",16,"U",14,14,15
"187","GP","F",16,"U",10,11,9
"188","GP","F",16,"U",16,15,15
"189","GP","F",16,"U",16,15,16
"190","GP","F",16,"U",15,15,14
"191","GP","F",16,"U",14,15,16
"192","GP","F",16,"U",11,10,11
"193","GP","F",16,"U",9,9,10
"194","GP","F",17,"R",14,14,16
"195","GP","F",17,"R",9,10,10
"196","GP","F",17,"R",13,11,11
"197","GP","F",17,"R",13,13,13
"198","GP","F",17,"R",11,10,11
"199","GP","F",17,"R",6,6,6
"200","GP","F",17,"R",7,6,6
"201","GP","F",17,"R",13,13,13
"202","GP","F",17,"R",15,15,15
"203","GP","F",17,"R",12,14,14
"204","GP","F",17,"R",15,15,17
"205","GP","F",17,"R",11,11,10
"206","GP","F",17,"R",11,12,14
"207","GP","F",17,"R",11,12,12
"208","GP","F",17,"R",7,7,7
"209","GP","F",17,"R",7,7,8
"210","GP","F",17,"R",15,16,17
"211","GP","F",17,"R",9,9,8
"212","GP","F",17,"R",15,14,15
