"","id","school","sex","age","address","G1","G2","G3"
"1",1,"1","F",18,"U",5,6,6
"2",2,"0","F",17,"U",5,5,6
"3",3,"1","F",15,"U",7,8,10
"4",4,"0","F",15,"U",15,14,15
"5",5,"0","F",16,"U",6,10,10
"6",6,"0","M",16,"U",15,15,15
"7",7,"0","M",16,"U",12,12,11
"8",8,"1","F",17,"U",6,5,6
"9",9,"0","M",15,"U",16,18,19
"10",10,"0","M",15,"U",14,15,15
"11",11,"0","F",15,"U",10,8,9
"12",12,"0","F",15,"U",10,12,12
"13",13,"0","M",15,"U",14,14,14
"14",14,"0","M",15,"U",10,10,11
"15",15,"0","M",15,"U",14,16,16
"16",16,"0","F",16,"U",14,14,14
"17",17,"0","F",16,"U",13,14,14
"18",18,"1","F",16,"U",8,10,10
"19",19,"0","M",17,"U",6,5,5
"20",20,"0","M",16,"U",8,10,10
"21",21,"0","M",15,"U",13,14,15
"22",22,"0","M",15,"U",12,15,15
"23",23,"0","M",16,"U",15,15,16
"24",24,"0","M",16,"U",13,13,12
"25",25,"1","F",15,"R",10,9,8
"26",26,"0","F",16,"U",6,9,8
"27",27,"0","M",15,"U",12,12,11
"28",28,"0","M",15,"U",15,16,15
"29",29,"1","M",16,"U",11,11,11
"30",30,"0","M",16,"U",10,12,11
"31",31,"0","M",15,"U",9,11,12
"32",32,"0","M",15,"U",17,16,17
"33",33,"0","M",15,"R",17,16,16
"34",34,"0","M",15,"U",8,10,12
"35",35,"0","M",16,"U",12,14,15
"36",36,"0","F",15,"U",8,7,6
"37",37,"0","M",15,"U",15,16,18
"38",38,"0","M",16,"R",15,16,15
"39",39,"1","F",15,"R",12,12,11
"40",40,"1","F",15,"R",14,13,13
"41",41,"0","F",16,"U",7,10,11
"42",42,"0","M",15,"U",12,12,12
"43",43,"0","M",15,"U",19,18,18
"44",44,"1","M",15,"U",8,8,11
"45",45,"1","F",16,"U",10,10,9
"46",46,"1","F",15,"U",8,8,6
"47",47,"0","F",16,"U",11,12,11
"48",48,"0","M",16,"U",19,19,20
"49",49,"0","M",15,"U",15,15,14
"50",50,"1","F",15,"U",7,7,7
"51",51,"0","F",16,"U",12,13,13
"52",52,"0","F",15,"U",11,13,13
"53",53,"0","M",15,"U",11,11,10
"54",54,"1","F",15,"U",8,10,11
"55",55,"0","F",15,"U",10,13,13
"56",56,"0","F",16,"U",8,9,10
"57",57,"0","F",15,"U",14,15,15
"58",58,"0","M",15,"U",14,15,15
"59",59,"1","M",15,"U",9,10,9
"60",60,"0","F",16,"U",15,16,16
"61",61,"0","F",16,"R",10,11,11
"62",62,"1","F",16,"U",10,8,11
"63",63,"1","F",16,"U",8,10,9
"64",64,"1","F",16,"U",10,9,9
"65",65,"1","F",15,"U",10,10,10
"66",66,"0","F",16,"U",16,15,15
"67",67,"0","M",15,"U",13,13,12
"68",68,"1","F",16,"U",7,7,6
"69",69,"1","F",15,"R",8,9,8
"70",70,"0","F",15,"R",16,16,16
"71",71,"0","M",16,"U",13,15,15
"72",72,"0","M",15,"U",10,10,10
"73",73,"1","F",15,"R",8,6,5
"74",74,"0","M",16,"U",12,12,14
"75",75,"1","F",16,"U",11,12,11
"76",76,"0","M",15,"U",9,9,10
