"","id","traveltime","studytime","freetime","goout"
"1",1,2,2,3,4
"2",2,1,2,3,3
"3",3,1,2,3,2
"4",4,1,3,2,2
"5",5,1,2,3,2
"6",6,1,2,4,2
"7",7,1,2,4,4
"8",8,2,2,1,4
"9",9,1,2,2,2
"10",10,1,2,5,1
"11",11,1,2,3,3
"12",12,3,3,2,2
"13",13,1,1,3,3
"14",14,2,2,4,3
"15",15,1,3,5,2
"16",16,1,1,4,4
"17",17,1,3,2,3
"18",18,3,2,3,2
"19",19,1,1,5,5
"20",20,1,1,1,3
"21",21,1,2,4,1
"22",22,1,1,4,2
"23",23,1,2,5,1
"24",24,2,2,4,4
"25",25,1,3,3,2
"26",26,1,1,2,2
"27",27,1,1,2,2
"28",28,1,1,2,4
"29",29,1,2,3,3
"30",30,1,2,4,5
"31",31,1,2,4,2
"32",32,2,2,3,1
"33",33,1,2,5,2
"34",34,1,2,3,2
"35",35,1,1,4,3
"36",36,2,1,5,1
"37",37,1,3,4,3
"38",38,2,3,4,3
"39",39,1,3,3,2
"40",40,1,1,3,1
"41",41,2,2,3,3
"42",42,1,1,4,3
"43",43,1,2,3,3
"44",44,1,1,4,1
"45",45,2,2,3,3
"46",46,1,2,2,2
"47",47,1,2,3,5
"48",48,1,4,2,2
"49",49,1,2,3,3
"50",50,1,2,4,4
"51",51,3,2,3,3
"52",52,1,2,3,3
"53",53,2,1,5,5
"54",54,1,1,3,4
"55",55,1,1,3,4
"56",56,1,2,3,4
"57",57,1,2,3,2
"58",58,1,2,2,2
"59",59,1,2,3,2
"60",60,1,2,2,3
"61",61,1,2,4,4
"62",62,4,1,5,5
"63",63,1,2,4,3
"64",64,1,3,4,4
"65",65,1,2,4,4
"66",66,3,2,4,3
"67",67,1,4,3,3
"68",68,1,4,3,3
"69",69,2,2,1,3
"70",70,2,4,4,2
"71",71,2,4,3,2
"72",72,1,4,3,3
"73",73,1,2,3,4
"74",74,1,1,3,2
"75",75,1,2,3,3
"76",76,1,2,3,3
"77",77,2,4,4,3
"78",78,1,4,2,3
"79",79,2,1,5,1
"80",80,1,2,4,3
"81",81,1,1,2,2
"82",82,1,3,3,2
"83",83,1,2,4,4
"84",84,2,2,3,3
"85",85,1,2,3,2
"86",86,2,2,4,4
"87",87,1,2,3,4
"88",88,1,3,3,3
"89",89,2,2,4,2
"90",90,1,2,1,3
"91",91,1,3,3,3
"92",92,1,1,5,5
"93",93,1,2,3,3
"94",94,2,2,3,3
"95",95,1,4,3,4
"96",96,2,4,1,2
"97",97,2,1,3,3
"98",98,1,2,3,5
"99",99,1,1,3,4
"100",100,1,3,3,5
"101",101,1,1,5,5
"102",102,1,3,4,3
"103",103,1,1,3,3
"104",104,2,2,3,5
"105",105,1,2,4,4
"106",106,1,4,3,3
"107",107,1,4,1,2
"108",108,1,3,3,3
"109",109,4,4,3,5
"110",110,1,3,4,5
"111",111,1,1,5,3
"112",112,1,3,1,2
"113",113,1,2,1,2
"114",114,1,1,5,2
"115",115,1,2,4,2
"116",116,1,2,4,4
"117",117,2,2,4,3
"118",118,2,1,4,2
"119",119,3,2,2,4
"120",120,1,1,4,3
"121",121,1,2,2,3
"122",122,1,4,5,4
"123",123,2,2,2,2
"124",124,1,1,4,4
"125",125,1,2,4,4
"126",126,1,1,5,5
"127",127,1,2,3,2
"128",128,1,2,4,2
"129",129,1,1,3,3
"130",130,1,1,5,5
"131",131,2,3,2,2
"132",132,3,1,3,3
"133",133,1,1,4,4
"134",134,1,1,2,1
"135",135,4,2,3,3
"136",136,1,3,3,3
"137",137,3,2,4,5
"138",138,2,1,3,2
"139",139,1,2,4,4
"140",140,2,1,3,2
"141",141,2,4,2,2
"142",142,2,1,3,3
"143",143,1,3,2,2
"144",144,1,1,4,4
"145",145,1,1,4,5
"146",146,1,2,4,2
"147",147,1,2,3,2
"148",148,1,2,3,2
"149",149,1,1,3,2
"150",150,4,1,5,5
"151",151,1,1,3,5
"152",152,1,1,4,4
"153",153,2,3,2,1
"154",154,1,1,5,4
"155",155,1,1,2,1
"156",156,1,2,4,4
"157",157,1,1,2,2
"158",158,3,1,2,5
"159",159,3,1,2,2
"160",160,1,2,5,5
"161",161,2,1,3,2
"162",162,2,2,4,4
"163",163,2,1,4,4
"164",164,1,1,3,3
"165",165,4,2,3,5
"166",166,2,1,5,2
"167",167,1,2,3,5
"168",168,1,2,2,3
"169",169,1,2,1,5
"170",170,1,2,4,2
"171",171,3,1,4,5
"172",172,2,2,3,2
"173",173,1,2,4,4
"174",174,1,2,3,5
"175",175,2,2,4,5
"176",176,2,2,4,4
"177",177,2,2,4,4
"178",178,1,2,3,4
"179",179,1,1,3,3
"180",180,1,2,2,3
"181",181,1,2,4,3
"182",182,1,2,2,3
"183",183,1,2,4,2
"184",184,1,2,3,3
"185",185,1,2,2,2
"186",186,1,2,3,4
"187",187,1,1,3,3
"188",188,1,2,2,3
"189",189,1,2,3,3
"190",190,1,2,1,3
"191",191,1,2,3,3
"192",192,1,2,3,3
"193",193,2,2,4,4
"194",194,1,1,3,2
"195",195,2,1,3,3
"196",196,1,2,3,2
"197",197,1,1,2,3
"198",198,3,1,3,4
"199",199,2,1,2,4
"200",200,1,2,5,2
"201",201,1,2,3,5
"202",202,1,2,4,3
"203",203,1,2,4,4
"204",204,1,1,3,2
"205",205,2,4,3,5
"206",206,1,3,4,3
"207",207,1,2,3,3
"208",208,1,2,3,2
"209",209,2,1,3,2
"210",210,2,3,4,2
"211",211,1,4,3,3
"212",212,1,2,3,5
"213",213,1,2,3,4
"214",214,1,2,4,4
"215",215,1,1,2,1
"216",216,2,2,4,4
"217",217,1,2,4,5
"218",218,1,2,2,4
"219",219,2,1,3,3
"220",220,1,3,3,3
"221",221,2,2,2,5
"222",222,1,3,3,4
"223",223,1,2,3,1
"224",224,2,2,3,3
"225",225,1,3,3,2
"226",226,1,2,3,3
"227",227,1,2,3,4
"228",228,1,2,3,3
"229",229,4,2,3,2
"230",230,2,3,2,3
"231",231,1,2,2,3
"232",232,2,2,5,2
"233",233,1,2,5,5
"234",234,1,2,2,4
"235",235,2,2,4,2
"236",236,2,3,3,3
"237",237,1,2,4,2
"238",238,1,1,5,2
"239",239,3,2,1,1
"240",240,1,2,5,4
"241",241,2,2,5,5
"242",242,2,2,3,3
"243",243,1,1,4,5
