"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"1","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",2,4,0,"1","1","1","1","1","1","1","0",3,1,2,1,1,1,4,13,13,13
"2","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",2,4,1,"1","1","1","1","1","1","1","0",3,1,2,1,1,1,2,7,10,10
"3","GP","F",15,"R","GT3","T",1,1,"other","other","course","mother",3,1,1,"0","0","0","1","1","1","1","1",5,5,5,1,1,1,2,8,9,9
"4","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,0,"1","1","0","0","0","1","1","1",3,3,4,2,4,5,2,13,11,11
"5","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,2,"1","1","0","0","0","1","1","1",3,3,4,2,4,5,2,8,6,5
"6","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,0,"1","1","1","1","1","1","0","0",4,3,1,1,1,2,8,14,13,13
"7","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,0,"1","1","0","1","1","1","0","0",4,3,1,1,1,2,8,14,13,12
"8","GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,0,"1","1","1","1","1","1","1","0",4,3,2,1,1,5,2,10,9,8
"9","GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,0,"1","1","0","1","1","1","1","0",4,3,2,1,1,5,2,10,11,10
"10","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,0,"0","1","1","1","1","1","1","1",4,2,1,2,3,3,2,13,13,13
"11","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,2,"0","1","1","1","1","1","1","1",4,2,1,2,3,3,8,10,10,10
"12","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,0,"1","1","1","1","1","1","1","0",4,3,2,1,1,5,2,12,12,11
"13","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,0,"1","1","0","1","1","1","1","0",4,3,2,1,1,5,2,11,12,12
"14","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","father",2,3,0,"0","1","0","0","1","1","1","1",4,2,2,2,2,5,0,10,11,12
"15","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","father",2,3,2,"0","1","0","0","1","1","1","1",4,2,2,2,2,5,0,12,0,0
"16","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",2,2,0,"1","1","1","0","1","1","1","0",4,1,3,1,3,4,2,8,9,8
"17","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",2,2,0,"1","1","0","0","1","1","1","0",4,1,3,1,3,4,0,11,10,11
